Table with row headers in column A and column headers in rows 10 through 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PINC-08. Source of Income in 2022--People 15 Years Old and Over by Income of Specified Type in 2022, Age, Race, Hispanic Origin, and Sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2023 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. People 15 years old and over as of March of the following year. Social Security income may include a small number of people who report Railroad Retirement Income as Social Security Income. Retirement Income includes payments reported as survivor, disability, or retirement benefits.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median income is calculated using $2,500 intervals. The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Years and Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total with income,"$1 to $2,499 or loss","$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$52,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median income,,Mean income,,Gini ratio,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error
....Total,"119,400","4,553","2,234","2,191","2,159","3,632","2,551","3,669","2,595","4,208","2,824","3,866","2,302","4,921","2,075","3,961","2,114","4,311","1,584","3,228","1,936","4,702","1,664","2,833","1,383","3,861","1,195","2,281","1,118","2,781",945,"2,093",933,"2,233",821,"1,430",658,"1,567",576,"1,134",548,"23,760","48,450",461,"70,340",503,0.507,0.0023
Earnings,"90,380","2,002","1,727","1,810","1,162","2,117",911,"2,190","1,083","3,085","1,320","2,856","1,252","4,047","1,150","3,343","1,388","4,096",798,"2,910","1,266","4,580",913,"2,620",916,"4,027",591,"2,128",598,"2,749",537,"1,983",552,"2,265",406,"1,330",378,"1,593",303,"1,018",340,"20,040","52,770",657,"75,420",549,0.479,0.0027
..Wages and salary,"84,920","1,565","1,600","1,657","1,083","1,961",847,"1,914",973,"2,779","1,222","2,555","1,160","3,689","1,111","3,194","1,363","3,749",724,"2,832","1,228","4,285",875,"2,583",870,"3,776",585,"2,063",563,"2,621",542,"1,921",521,"2,139",419,"1,271",357,"1,539",292,991,329,"19,180","55,090",433,"75,980",560,0.471,0.0028
..Nonfarm self-employment,"7,204","1,402",287,332,152,259,81,330,137,406,115,328,65,359,34,178,46,367,56,109,29,357,12,55,16,235,7,133,27,138,3,97,4,164,1,67,17,55,10,30,0,704,"25,760",559,"45,520","1,779",0.634,0.0111
..Farm self-employment,"1,310",778,36,38,20,48,6,31,7,32,1,13,8,25,6,16,0,55,0,11,0,31,0,6,0,24,0,6,0,12,8,6,0,1,0,0,0,1,0,0,0,84,"2,104",90,"27,470","4,031",0.851,0.0129
Social Security,"25,430",816,"1,001",738,"1,077","1,639","2,180","2,546","2,543","2,655","2,435","2,130","1,402","1,349",748,673,451,245,164,68,181,386,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"20,170",157,"20,580",126,0.278,0.0024
SSI (Supplemental Security Income),"2,778",393,188,278,552,732,233,125,103,76,45,13,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,898",225,"9,793",207,0.327,0.0093
Public assistance,494,248,134,35,17,33,10,4,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,485",305,"3,986",392,0.561,0.0261
Veterans' benefits,"3,881",618,316,279,188,228,218,147,208,170,259,103,104,111,20,135,91,112,114,156,84,47,22,4,15,10,9,9,0,17,9,2,3,14,13,0,0,0,1,12,0,29,"16,560",921,"20,950",555,0.479,0.0075
Survivor benefits,848,169,92,82,32,58,32,47,22,25,35,42,2,19,12,6,5,9,0,8,4,11,9,7,0,17,0,18,6,6,0,5,3,0,1,0,0,0,0,0,0,66,"12,140","1,381","23,520","1,869",0.600,0.0149
Disability benefits,"1,322",230,106,103,134,162,108,81,35,46,39,42,8,23,4,66,14,21,17,12,21,23,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,"11,360",480,"16,140",797,0.504,0.0152
Unemployment compensation,"1,762",684,430,234,131,109,40,52,20,40,9,6,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,644",187,"5,293",224,0.510,0.0119
Workers' compensation,625,160,83,49,47,52,16,20,38,26,7,21,19,9,20,15,0,6,0,2,2,14,0,1,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,10,"8,586","1,199","14,490","1,290",0.574,0.0264
Property income,"74,580","57,450","4,814","2,998","1,195","1,602",684,759,346,722,302,452,196,424,111,159,75,178,76,85,119,170,63,90,51,54,14,86,24,69,36,47,19,70,28,31,9,43,25,23,0,878,"1,623",6,"5,531",190,0.892,0.0032
..Interest,"73,180","61,880","3,902","2,201",633,"1,107",377,456,152,467,125,229,60,265,55,83,50,109,21,38,33,118,47,58,24,49,6,45,6,51,8,26,6,24,9,0,0,17,9,13,3,409,"1,478",4,"2,717",66,0.892,0.0018
..Dividends,"20,460","15,670","1,410","1,195",361,453,163,247,116,172,60,89,1,82,10,20,25,17,2,0,13,74,0,25,0,3,0,3,0,27,0,2,0,7,0,2,0,15,0,0,0,201,"1,632",13,"4,765",309,0.879,0.0067
"..Rents, royalties, estates or trusts","6,505","2,519",651,715,251,575,200,204,103,201,82,147,24,101,20,37,0,61,2,41,8,87,14,10,3,30,0,45,0,26,2,17,10,39,0,7,0,10,10,13,3,235,"5,289",250,"17,860","1,641",0.778,0.0166
Retirement income,"14,780","1,523","1,155",992,743,"1,167",596,830,616,677,677,393,279,477,316,379,242,315,136,231,293,210,126,133,127,304,89,105,58,179,51,96,79,63,76,28,62,72,21,52,27,789,"19,060",465,"32,280",755,0.570,0.0076
..Company or union retirement,"6,251",812,714,490,420,582,295,404,367,281,340,117,128,172,147,153,39,157,23,42,84,48,13,33,21,71,14,15,10,25,17,50,17,12,18,4,0,26,0,0,7,82,"13,430",618,"22,290","1,184",0.572,0.0193
..Federal government retirement,946,39,41,28,34,48,27,52,34,57,86,43,14,45,13,50,31,31,29,14,22,8,14,13,3,42,10,11,1,13,0,6,8,0,9,13,5,0,5,15,0,32,"26,640","2,077","34,720","1,602",0.413,0.0140
..Military retirement,772,46,15,19,22,54,21,63,15,46,73,21,29,58,12,42,12,20,24,18,30,8,8,5,1,18,4,7,3,8,5,9,0,4,4,1,4,4,5,7,4,22,"26,530","2,228","35,410","3,070",0.447,0.0420
..State or local government retirement,"2,759",147,132,141,101,162,119,92,82,121,138,124,70,106,56,134,48,79,46,63,125,75,41,45,49,80,22,26,21,48,11,16,25,15,16,7,11,9,12,17,0,130,"28,270","1,609","36,060","1,532",0.451,0.0144
..Railroad retirement,47,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
..Annuities,"1,737",473,169,227,135,128,68,61,31,67,48,51,8,58,20,20,13,4,1,4,12,16,3,9,0,42,0,8,0,7,0,5,0,0,0,0,0,0,0,10,0,40,"7,495",555,"16,500","1,265",0.641,0.0181
"..401K, 403b, IRA, Keogh, SEP, other","5,644",951,615,680,400,551,212,343,180,361,84,59,35,29,36,75,37,98,14,37,27,84,25,10,45,86,8,20,2,81,15,19,11,61,30,11,0,15,0,5,15,279,"10,800",343,"24,400",966,0.649,0.0092
..Other or don't know,"1,002",197,100,101,78,104,52,52,28,37,21,37,3,11,10,19,11,12,10,0,8,20,6,0,4,11,0,0,0,9,0,0,0,8,5,0,0,2,0,0,0,47,"10,600",647,"20,180","1,545",0.606,0.0188
Pension income,"10,550","1,098",896,605,524,780,383,548,503,442,614,307,239,406,256,315,164,260,108,156,257,136,92,102,90,256,58,59,46,109,32,91,52,29,69,30,20,41,12,27,19,313,"19,680",481,"29,420",823,0.537,0.0111
..Company or union retirement,"5,892",774,660,457,375,571,265,384,356,266,317,113,125,168,147,138,43,149,23,38,68,43,11,33,21,70,14,12,16,21,17,47,13,12,18,4,0,23,0,0,7,75,"13,550",682,"22,440","1,245",0.573,0.0203
..Federal government retirement,842,17,40,20,18,30,27,47,23,51,80,43,14,41,13,46,31,30,29,14,21,9,14,13,3,40,10,11,1,13,0,6,8,0,9,13,5,0,5,15,0,32,"30,770","2,258","37,420","1,730",0.387,0.0139
..Military retirement,555,24,10,11,16,38,1,36,12,32,64,21,28,54,12,14,4,15,18,9,27,0,8,5,1,10,4,7,3,8,5,9,0,4,4,1,0,4,5,7,4,19,"28,630","1,620","39,000","4,119",0.447,0.0510
..State or local government retirement,"2,437",89,106,112,54,129,83,71,73,104,132,122,74,101,56,124,45,76,46,60,121,71,41,47,49,80,22,26,21,48,11,16,25,19,11,7,11,9,5,17,0,121,"31,730","1,207","38,710","1,652",0.423,0.0155
..Railroad retirement,37,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
..Annuities,"1,665",467,159,223,132,127,64,53,26,63,43,51,8,53,20,20,12,4,1,4,12,8,0,8,0,42,0,8,0,7,0,5,0,0,1,0,0,0,0,10,0,34,"7,322",463,"16,080","1,278",0.645,0.0188
Alimony,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
Child support,233,103,72,21,12,14,0,2,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,948",426,"4,335",631,0.525,0.0448
Educational assistance,"2,732",725,477,495,229,223,45,73,47,40,22,44,24,100,17,21,3,31,16,26,1,27,0,0,0,5,1,2,3,27,0,0,0,0,0,0,0,4,0,4,0,0,"5,827",228,"10,180",528,0.581,0.0095
Financial assistance from outside the household,963,406,110,169,41,60,14,34,14,5,28,22,0,17,0,1,3,0,0,7,20,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,"4,221",717,"8,198",768,0.646,0.0202
"Other income, N.E.C.","1,264",687,423,52,20,19,7,14,1,3,4,2,0,0,0,1,3,0,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,"2,300",95,"4,558",864,0.789,0.0319
