country,c3,year,region_wb,population,gdp,gini_std
Afghanistan,AFG,2017,South Asia,35643416,2096,46
Angola,AGO,2019,Sub-Saharan Africa,32353588,6602,63
Albania,ALB,2020,Europe and Central Asia,2866849,13278,35
United Arab Emirates,ARE,2019,Middle East and North Africa,9211657,71782,26
Argentina,ARG,2022,Latin America and the Caribbean,45276780,22447,38
Armenia,ARM,2021,Europe and Central Asia,2790974,14193,31
Australia,AUS,2018,East Asia and the Pacific,24979230,49053,34
Austria,AUT,2022,Europe and Central Asia,8922082,56281,31
Azerbaijan,AZE,2018,Europe and Central Asia,10152522,14210,19
Burundi,BDI,2014,Sub-Saharan Africa,10494913,831,54
Belgium,BEL,2022,Europe and Central Asia,11611419,53156,27
Benin,BEN,2019,Sub-Saharan Africa,12290444,3156,53
Burkina Faso,BFA,2019,Sub-Saharan Africa,20951638,2110,57
Bangladesh,BGD,2022,South Asia,169356256,6263,50
Bulgaria,BGR,2022,Europe and Central Asia,6885868,26823,39
Bahrain,BHR,2015,Middle East and North Africa,1362142,48454,60
The Bahamas,BHS,2013,Latin America and the Caribbean,385650,33482,51
Bosnia and Herzegovina,BIH,2011,Europe and Central Asia,3743142,10933,38
Belarus,BLR,2020,Europe and Central Asia,9633740,19240,29
Belize,BLZ,1999,Latin America and the Caribbean,232733,7954,53
Bolivia,BOL,2021,Latin America and the Caribbean,12079472,8052,42
Brazil,BRA,2022,Latin America and the Caribbean,214326224,15093,49
Barbados,BRB,2017,Latin America and the Caribbean,279187,16199,46
Brunei,BRN,2016,East Asia and the Pacific,425994,59981,28
Botswana,BWA,2016,Sub-Saharan Africa,2352416,14374,58
Central African Republic,CAF,2021,Sub-Saharan Africa,5457154,838,57
Canada,CAN,2019,North America,37522584,49176,32
Switzerland,CHE,2021,Europe and Central Asia,8691406,70097,34
Chile,CHL,2022,Latin America and the Caribbean,19493184,25886,47
China,CHN,2021,East Asia and the Pacific,1425893504,17657,44
Cote d'Ivoire,CIV,2019,Sub-Saharan Africa,26147550,5132,56
Cameroon,CMR,2014,Sub-Saharan Africa,22299586,3530,60
"Congo, Republic of the",COG,2012,Sub-Saharan Africa,4713257,5267,61
Colombia,COL,2020,Latin America and the Caribbean,50930660,13358,54
Comoros,COM,2014,Sub-Saharan Africa,714612,3183,59
Cape Verde,CPV,2015,Sub-Saharan Africa,552166,6692,57
Costa Rica,CRI,2022,Latin America and the Caribbean,5153957,21987,48
Cuba,CUB,2000,Latin America and the Caribbean,11105791,4385,42
Cyprus,CYP,2022,Europe and Central Asia,1244188,43620,31
Czechia,CZE,2022,Europe and Central Asia,10510751,41667,26
Germany,DEU,2022,Europe and Central Asia,83408552,53560,31
Djibouti,DJI,2017,Middle East and North Africa,1040233,4452,44
Dominica,DMA,2008,Latin America and the Caribbean,68782,12393,55
Denmark,DNK,2022,Europe and Central Asia,5854240,59704,26
Dominican Republic,DOM,2022,Latin America and the Caribbean,11117873,19338,38
Algeria,DZA,2012,Middle East and North Africa,37260564,11271,34
Ecuador,ECU,2022,Latin America and the Caribbean,17797736,10859,45
Egypt,EGY,2018,Middle East and North Africa,103740768,11363,36
Spain,ESP,2022,Europe and Central Asia,47486932,39834,34
Estonia,EST,2022,Europe and Central Asia,1328701,37826,32
Ethiopia,ETH,2016,Sub-Saharan Africa,105293224,1864,51
Finland,FIN,2022,Europe and Central Asia,5535992,49586,29
Fiji,FJI,2020,East Asia and the Pacific,920422,10967,35
France,FRA,2022,Europe and Central Asia,64531444,46020,33
"Micronesia, Federated States of",FSM,2013,East Asia and the Pacific,108609,3382,42
Gabon,GAB,2017,Sub-Saharan Africa,2140215,14478,46
United Kingdom,GBR,2021,Europe and Central Asia,67281040,44949,33
Georgia,GEO,2021,Europe and Central Asia,3757980,15487,37
Ghana,GHA,2017,Sub-Saharan Africa,30222262,4930,57
Guinea,GIN,2019,Sub-Saharan Africa,12877539,2545,47
"Gambia, The",GMB,2021,Sub-Saharan Africa,2639916,2077,54
Guinea-Bissau,GNB,2019,Sub-Saharan Africa,1970457,1891,51
Equatorial Guinea,GNQ,2006,Sub-Saharan Africa,905418,28879,56
Greece,GRC,2022,Europe and Central Asia,10445365,31517,32
Grenada,GRD,2008,Latin America and the Caribbean,112478,13634,47
Guatemala,GTM,2014,Latin America and the Caribbean,15713740,7939,48
Guyana,GUY,2006,Latin America and the Caribbean,758367,8239,46
Hong Kong,HKG,2016,East Asia and the Pacific,7435927,58098,42
Honduras,HND,2021,Latin America and the Caribbean,10278345,5572,54
Croatia,HRV,2022,Europe and Central Asia,4060135,34025,29
Haiti,HTI,2012,Latin America and the Caribbean,10108539,3027,61
Hungary,HUN,2022,Europe and Central Asia,9709786,35255,27
Indonesia,IDN,2022,East Asia and the Pacific,273753184,12410,40
India,IND,2022,South Asia,1407563904,7096,50
Ireland,IRL,2022,Europe and Central Asia,4986526,113871,30
Iraq,IRQ,2013,Middle East and North Africa,35481800,9504,41
Iceland,ISL,2018,Europe and Central Asia,352946,56817,26
Israel,ISR,2020,Middle East and North Africa,8757489,39681,38
Italy,ITA,2022,Europe and Central Asia,59240328,43788,36
Jamaica,JAM,2017,Latin America and the Caribbean,2808376,9985,47
